id,web_name,full_name,team_short,team_name,position,price,price_change_this_gw,price_change_season,status,chance_playing_this_round,chance_playing_next_round,news,news_added,total_points,event_points,points_per_game,form,ep_next,ep_this,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,defensive_contribution_per_90,influence,creativity,threat,ict_index,selected_by_percent,transfers_in_event,transfers_out_event,value_season,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,dreamteam_count
11,Mosquera,Cristhian Mosquera,ARS,Arsenal,DEF,5.5,0.0,0.0,a,,,,,6,0,6.0,3.0,3.0,3.0,90,1,0,0,1,0,0,0,0,0,0,0,0,27,0.00,0.00,0.00,0.20,6,3,0,6,6.0,14.4,0.6,0.0,1.5,5.7,468,3854,1.1,,,,0
12,Saka,Bukayo Saka,ARS,Arsenal,MID,9.5,0.0,0.0,a,,,,,9,0,9.0,4.5,4.5,4.5,67,1,1,0,1,0,0,0,0,0,0,0,1,36,0.64,0.08,0.72,0.06,2,4,1,7,9.4,42.8,26.1,33.0,10.2,10.4,1672,2620,0.9,2,2,1,0
13,Rice,Declan Rice,ARS,Arsenal,MID,7.5,0.0,0.0,a,,,,,3,0,3.0,1.5,1.5,1.5,67,1,0,0,1,0,0,0,0,0,0,0,0,10,0.07,0.08,0.15,0.06,3,3,0,6,8.06,6.8,6.4,2.0,1.5,16.7,1020,8871,0.4,1,1,,0
14,Eze,Eberechi Eze,ARS,Arsenal,MID,6.5,0.0,0.0,a,,,,,1,0,1.0,0.5,0.5,0.5,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0.04,0.00,0.04,0.15,0,2,0,2,12.86,0.0,1.8,1.0,0.1,1.7,351,1107,0.2,,3,,0
15,Ødegaard,Martin Ødegaard,ARS,Arsenal,MID,6.6,0.0,0.1,a,,,,,11,0,11.0,5.5,5.5,5.5,75,1,1,0,1,0,0,0,0,0,0,0,3,41,0.21,0.10,0.31,0.06,1,4,3,8,9.6,50.6,41.5,31.0,12.3,11.8,4645,2668,1.7,4,,3,0
16,Madueke,Noni Madueke,ARS,Arsenal,MID,6.4,0.0,-0.1,a,,,,,1,0,1.0,0.5,0.5,0.5,22,0,0,0,0,0,0,0,0,0,0,0,0,8,0.00,0.04,0.04,0.15,0,2,0,2,8.18,9.4,43.1,0.0,5.3,0.3,112,167,0.2,6,,,0
17,Merino,Mikel Merino Zazón,ARS,Arsenal,MID,6.0,0.0,0.0,a,,,,,1,0,1.0,0.5,0.5,0.5,14,0,0,0,0,0,0,0,0,0,0,0,0,5,0.14,0.02,0.16,0.15,0,2,0,2,12.86,3.6,1.2,14.0,1.9,0.6,179,558,0.2,,,,0
18,Martinelli,Gabriel Martinelli Silva,ARS,Arsenal,MID,6.4,0.0,-0.1,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,82,181,0.0,,,,0
19,Zubimendi,Martín Zubimendi Ibáñez,ARS,Arsenal,MID,5.5,0.0,0.0,a,,,,,1,0,1.0,0.5,0.5,0.5,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0.00,0.02,0.02,0.15,0,2,1,3,12.27,3.8,2.3,0.0,0.6,1.0,107,583,0.2,,,,0
20,Dowman,Max Dowman,ARS,Arsenal,MID,5.4,0.0,-0.1,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,60,65,0.0,,,,0
22,Nwaneri,Ethan Nwaneri,ARS,Arsenal,MID,5.5,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7,10,0.0,,,,0
23,Fábio Vieira,Fábio Ferreira Vieira,ARS,Arsenal,MID,5.5,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7,6,0.0,,,,0
24,Nelson,Reiss Nelson,ARS,Arsenal,MID,5.5,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,3,0.0,,,,0
25,Gyökeres,Viktor Gyökeres,ARS,Arsenal,FWD,7.4,0.0,-0.1,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,6.6,310,3953,0.0,,,2,0
26,Havertz,Kai Havertz,ARS,Arsenal,FWD,7.5,0.0,0.0,a,,,,,6,0,6.0,3.0,3.0,3.0,90,1,1,0,1,0,0,0,0,0,0,0,0,34,0.26,0.03,0.29,0.20,2,0,0,2,2.0,37.2,13.2,25.0,7.5,7.5,3183,3140,0.8,,,,0
27,G.Jesus,Gabriel Fernando de Jesus,ARS,Arsenal,FWD,6.0,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.3,154,227,0.0,,,,0
31,Konsa,Ezri Konsa Ngoyo,ARS,Arsenal,DEF,4.5,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,10.7,4618,5482,0.0,,,,0
452,Bruno G.,Bruno Guimarães Rodriguez Moura,ARS,Arsenal,MID,6.9,0.0,-0.1,d,75,75,Thigh injury - 75% chance of playing,2026-08-20T17:00:08.846118Z,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,2.7,56,2949,0.0,5,,4,0
557,Tzolis,Christos Tzolis,ARS,Arsenal,MID,6.5,0.0,0.0,a,,,,,6,0,6.0,3.0,3.0,3.0,75,1,0,1,1,0,0,0,0,0,0,0,0,30,0.19,0.14,0.33,0.06,2,3,1,6,7.2,17.0,39.8,30.0,8.7,26.1,9604,5039,0.9,3,,,0
28,Martinez,Emiliano Martínez Romero,AVL,Aston Villa,GKP,5.0,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,4.1,2071,1430,0.0,,,,0
29,M.Bizot,Marco Bizot,AVL,Aston Villa,GKP,4.5,0.0,0.0,a,,,,,1,0,1.0,0.5,0.5,0.5,90,1,0,0,0,4,0,0,0,0,0,3,0,1,0.00,0.00,0.00,3.77,2,6,0,0,0.0,28.2,0.0,0.0,2.8,0.1,67,28,0.2,,,,0
30,Digne,Lucas Digne,AVL,Aston Villa,DEF,4.5,0.0,0.0,u,0,0,Has joined Paris Saint-Germain permanently,2026-08-10T14:03:30.089007Z,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0,114,0.0,,,,0
32,Cash,Matty Cash,AVL,Aston Villa,DEF,4.5,0.0,0.0,a,,,,,-1,0,-1.0,-0.5,-0.5,-0.5,90,1,0,0,0,4,0,0,0,1,0,0,0,-8,0.00,0.00,0.00,3.77,5,0,2,7,7.0,12.0,1.1,0.0,1.3,7.6,807,1934,-0.2,1,,,0
33,Mings,Tyrone Mings,AVL,Aston Villa,DEF,4.5,0.0,0.0,a,,,,,1,0,1.0,0.5,0.5,0.5,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0.00,0.00,0.00,0.22,0,0,1,1,5.62,2.0,0.0,0.0,0.2,0.4,103,97,0.2,,,,0
34,Pau,Pau Torres,AVL,Aston Villa,DEF,4.5,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,73,1,0,0,0,4,0,0,0,0,0,0,0,-14,0.00,0.00,0.00,3.55,5,1,0,5,6.16,0.0,0.7,0.0,0.0,0.4,61,110,0.0,,,,0
35,Bogarde,Lamare Bogarde,AVL,Aston Villa,MID,5.0,0.0,0.0,a,,,,,1,0,1.0,0.5,0.5,0.5,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0.00,0.00,0.00,0.22,1,0,0,1,5.62,2.2,0.5,0.0,0.3,0.1,30,33,0.2,,,,0
36,Maatsen,Ian Maatsen,AVL,Aston Villa,DEF,4.5,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,81,1,0,0,0,4,0,0,0,0,0,0,0,-9,0.03,0.00,0.03,3.62,7,2,2,9,10.0,9.2,0.8,3.0,1.3,0.7,99,180,0.0,,,,0
37,Lindelöf,Victor Lindelöf,AVL,Aston Villa,DEF,4.5,0.0,0.0,a,,,,,-2,0,-2.0,-1.0,-1.0,-1.0,90,1,0,0,0,4,1,0,0,0,0,0,0,-13,0.00,0.00,0.00,3.77,3,1,0,3,3.0,1.8,0.1,0.0,0.2,0.3,52,81,-0.4,,,,0
38,A.García,Andrés García,AVL,Aston Villa,DEF,4.0,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,1.7,478,375,0.0,,,,0
39,Nedeljkovic,Kosta Nedeljkovic,AVL,Aston Villa,DEF,4.0,0.0,0.0,u,0,0,Has joined Rangers on loan for the rest of the season,2026-08-19T13:56:46.385411Z,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,160,0.0,,,,0
41,Buendía,Emiliano Buendía Stati,AVL,Aston Villa,MID,6.0,0.0,0.0,a,,,,,2,0,2.0,1.0,1.0,1.0,85,1,0,0,0,4,0,0,0,0,0,0,0,4,0.13,0.09,0.22,3.62,3,3,1,7,7.41,0.0,16.3,8.0,2.2,1.2,419,771,0.3,3,1,1,0
44,Bailey,Leon Bailey,AVL,Aston Villa,MID,5.5,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,63,97,0.0,,,,0
45,McGinn,John McGinn,AVL,Aston Villa,MID,5.5,0.0,0.0,a,,,,,1,0,1.0,0.5,0.5,0.5,81,1,0,0,0,4,0,0,0,1,0,0,0,8,0.04,0.01,0.05,3.62,2,3,1,6,6.67,1.6,2.4,1.0,0.5,2.8,521,1340,0.2,2,,,0
46,Barkley,Ross Barkley,AVL,Aston Villa,MID,5.0,0.0,0.0,a,,,,,2,0,2.0,1.0,1.0,1.0,73,1,0,0,0,4,0,0,0,0,0,0,0,11,0.10,0.02,0.12,3.55,1,0,0,1,1.23,9.4,21.4,7.0,3.8,0.2,121,113,0.4,4,,,0
47,Kamara,Boubacar Kamara,AVL,Aston Villa,MID,5.0,0.0,0.0,a,100,100,,2026-07-23T12:01:23.337269Z,2,0,2.0,1.0,1.0,1.0,90,1,0,0,0,4,0,0,0,0,0,0,0,9,0.00,0.00,0.00,3.77,3,2,2,7,7.0,11.2,2.8,0.0,1.4,0.3,173,215,0.4,,,,0
48,Onana,Amadou Onana,AVL,Aston Villa,MID,5.0,0.0,0.0,i,0,0,Knee injury - Unknown return date,2026-07-23T12:01:23.352497Z,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10,25,0.0,,,,0
49,Iling Jr,Samuel Iling-Junior,AVL,Aston Villa,MID,5.0,0.0,0.0,u,0,0,Has joined Bolton Wanderers on loan for the rest of the season,2026-08-17T13:52:28.532616Z,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,,,,0
50,Burrowes,Bradley Burrowes,AVL,Aston Villa,MID,4.5,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.7,265,257,0.0,,,,0
51,George Hemmings,George Hemmings,AVL,Aston Villa,MID,4.5,0.0,0.0,a,,,,,2,0,2.0,1.0,1.0,1.0,90,1,0,0,0,4,0,0,0,0,0,0,0,12,0.00,0.00,0.00,3.77,0,2,3,5,5.0,10.6,11.6,2.0,2.4,0.7,608,259,0.4,,,,0
52,Alysson,Alysson Edward Franco da Rocha dos Santos,AVL,Aston Villa,MID,5.0,0.0,0.0,a,,,,,1,0,1.0,0.5,0.5,0.5,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0.00,0.00,0.00,0.14,1,1,1,3,33.75,4.0,0.0,0.0,0.4,0.0,19,32,0.2,,,,0
53,Manzambi,Johan Manzambi,AVL,Aston Villa,MID,6.0,0.0,0.0,i,0,0,Knee injury - Unknown return date,2026-08-15T15:30:06.388335Z,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,23,279,0.0,,,,0
54,Gomes,Joao Gomes,AVL,Aston Villa,MID,5.5,0.0,0.0,s,0,0,Suspended until 19 Sep,2026-08-23T17:30:08.367415Z,-2,0,-2.0,-1.0,0.0,0.0,39,1,0,0,0,4,0,0,0,0,1,0,0,-2,0.00,0.01,0.01,2.58,1,2,4,7,16.15,1.0,11.0,0.0,1.2,0.1,4,54,-0.4,,,,0
55,Watkins,Ollie Watkins,AVL,Aston Villa,FWD,7.9,0.0,-0.1,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,7.4,297,9114,0.0,,,2,0
56,Abraham,Tammy Abraham,AVL,Aston Villa,FWD,5.5,0.0,0.0,d,50,50,Knock - 50% chance of playing,2026-08-15T16:00:07.558543Z,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,28,123,0.0,,,,0
160,Garnacho,Alejandro Garnacho Ferreyra,AVL,Aston Villa,MID,6.0,0.0,0.0,a,,,,,1,0,1.0,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00,0.00,0.00,0.14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,95,366,0.2,,,,0
582,Madjo,Brian Madjo,AVL,Aston Villa,FWD,5.5,0.0,0.0,i,0,0,Unspecified injury - Unknown return date,2026-08-15T16:00:07.974271Z,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,43,399,0.0,,,,0
596,Ruggeri,Matteo Ruggeri,AVL,Aston Villa,DEF,4.5,0.0,0.0,a,,,,,1,0,1.0,0.5,0.5,0.5,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0.00,0.00,0.00,0.14,0,0,2,2,22.5,4.0,0.0,0.0,0.4,0.1,37,32,0.2,,,,0
597,Suzuki,Zion Suzuki,AVL,Aston Villa,GKP,5.0,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8,277,218,0.0,,,,0
606,Rowe,Triston Rowe,AVL,Aston Villa,DEF,4.0,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,212,40,0.0,,,,0
607,Lynch,Luka Lynch,AVL,Aston Villa,MID,4.5,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,211,62,0.0,,,,0
611,Wan-Bissaka,Aaron Wan-Bissaka,AVL,Aston Villa,DEF,4.5,0.0,0.0,a,,,,,0,0,0.0,0.0,1.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,244,15,0.0,,,,0
618,Goretzka,Leon Goretzka,AVL,Aston Villa,MID,6.0,0.0,0.0,a,,,,,0,0,0.0,0.0,2.2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,197,6,0.0,,,,0
57,Petrović,Đorđe Petrović,BOU,Bournemouth,GKP,4.5,0.0,0.0,a,,,,,2,0,2.0,1.0,1.0,1.0,90,1,0,0,0,2,0,0,0,0,0,4,0,13,0.00,0.00,0.00,2.25,2,5,0,0,0.0,36.8,0.0,0.0,3.7,3.3,605,532,0.4,,,,0
58,Forster,Fraser Forster,BOU,Bournemouth,GKP,4.0,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,3.2,843,254,0.0,,,,0
59,Dennis,Will Dennis,BOU,Bournemouth,GKP,4.0,0.0,0.0,u,0,0,Has joined MK Dons permanently,2026-08-27T14:53:48.692835Z,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,198,0.0,,,,0
60,Hill,James Hill,BOU,Bournemouth,DEF,5.5,0.0,0.0,a,,,,,1,0,1.0,0.5,0.5,0.5,90,1,0,0,0,2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,2.25,5,1,1,6,6.0,11.6,0.3,0.0,1.2,0.9,200,274,0.2,,,,0
61,Truffert,Adrien Truffert,BOU,Bournemouth,DEF,5.5,0.0,0.0,a,,,,,1,0,1.0,0.5,0.5,0.5,90,1,0,0,0,2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,2.25,5,7,2,7,7.0,15.4,1.3,0.0,1.7,4.2,382,935,0.2,,,,0
62,Diakité,Bafodé Diakité,BOU,Bournemouth,DEF,5.0,0.0,0.0,a,,,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,82,60,0.0,,,,0
63,Milosavljević,Veljko Milosavljevic,BOU,Bournemouth,DEF,5.0,0.0,0.0,i,0,0,Unspecified injury - Unknown return date,2026-08-06T10:00:10.456051Z,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,10,0.0,,,,0
64,Smith,Adam Smith,BOU,Bournemouth,DEF,4.5,0.0,0.0,a,,,,,1,0,1.0,0.5,0.5,0.5,90,1,0,0,0,2,0,0,0,0,0,0,0,4,0.00,0.00,0.00,2.25,4,3,1,5,5.0,7.0,0.6,0.0,0.8,0.1,41,18,0.2,,,,0
65,J.Araujo,Julián Araujo Zúñiga,BOU,Bournemouth,DEF,4.5,0.0,0.0,i,0,0,Thigh injury - Unknown return date,2026-08-09T08:00:05.645826Z,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,24,0.0,,,,0
66,Soler,Julio Soler Barreto,BOU,Bournemouth,DEF,4.0,0.0,0.0,d,75,75,Hamstring injury - 75% chance of playing,2026-08-15T16:30:07.021055Z,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,51,84,0.0,,,,0
67,Rayan,Rayan Vitor Simplício Rocha,BOU,Bournemouth,MID,6.5,0.0,0.0,a,,,,,2,0,2.0,1.0,1.0,1.0,88,1,0,0,0,1,0,0,0,0,0,0,0,9,0.04,0.03,0.07,2.06,1,0,0,1,1.02,6.2,11.3,17.0,3.5,2.8,516,1717,0.3,,,,0
68,Tavernier,Marcus Tavernier,BOU,Bournemouth,MID,6.0,0.0,0.0,a,,,,,10,0,10.0,5.0,5.0,5.0,90,1,1,0,0,2,0,0,0,0,0,0,3,32,0.40,0.08,0.48,2.25,2,4,2,8,8.0,40.0,17.2,18.0,7.5,2.5,2037,867,1.7,1,1,3,0
69,Scott,Alex Scott,BOU,Bournemouth,MID,6.0,0.0,0.0,a,,,,,2,0,2.0,1.0,1.0,1.0,90,1,0,0,0,2,0,0,0,0,0,0,0,17,0.00,0.01,0.01,2.25,1,6,4,11,11.0,11.4,4.8,0.0,1.6,1.5,277,705,0.3,2,4,,0
70,Kluivert,Justin Kluivert,BOU,Bournemouth,MID,6.0,0.0,0.0,a,,,,,3,0,3.0,1.5,1.5,1.5,74,1,0,0,1,0,0,0,0,0,0,0,0,15,0.11,0.00,0.11,1.94,1,5,3,9,10.95,11.0,14.3,17.0,4.2,1.2,445,605,0.5,3,2,2,0
71,Cook,Lewis Cook,BOU,Bournemouth,MID,5.0,0.0,0.0,a,,,,,3,0,3.0,1.5,1.5,1.5,75,1,0,0,1,0,0,0,0,0,0,0,0,8,0.00,0.00,0.00,1.94,3,3,1,7,8.4,4.6,2.1,0.0,0.7,0.2,156,73,0.6,5,,,0
72,Gannon-Doak,Ben Gannon-Doak,BOU,Bournemouth,MID,5.0,0.0,0.0,a,,,,,1,0,1.0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0.00,0.00,0.00,0.19,0,1,0,1,90.0,0.2,0.1,2.0,0.2,0.1,20,34,0.2,,,,0
73,Adams,Tyler Adams,BOU,Bournemouth,MID,5.0,0.0,0.0,a,100,100,,2026-08-15T16:30:07.029928Z,1,0,1.0,0.5,0.5,0.5,15,0,0,0,0,2,0,0,0,0,0,0,0,4,0.00,0.00,0.00,0.31,3,0,0,3,18.0,3.6,0.6,0.0,0.4,0.2,245,151,0.2,,,,0
74,Brooks,David Brooks,BOU,Bournemouth,MID,5.0,0.0,0.0,a,100,100,,2026-08-15T16:30:07.037929Z,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,43,26,0.0,4,3,,0
